densif,T32,1.1898038507715637e-05
run-length,T2,1.0148461044855407e-05
l,T34,2.312444115129098e-05
l,T13,1.887080117614084e-05
leap,T43,1.219360102654968e-05
redescript,T2,1.2603931759269988e-05
redescript,T10,0.00029140220555494846
plural,T29,3.2546694117658584e-05
blaze,T14,1.0137949408976522e-05
rss,T24,1.0809128993706314e-05
protect,T26,0.00014756958040143574
protect,T40,3.6354826807136426e-05
protect,T28,2.4591727869277836e-05
kasp,T35,1.1118052306671636e-05
08,T1,1.169679261514479e-05
jboss,T40,1.2438376849890656e-05
iv,T34,1.2784479287418683e-05
iv,T49,1.1889759865638868e-05
novelti,T2,1.2279127342563132e-05
novelti,T8,3.381443617459768e-05
novelti,T15,5.2879155083263085e-05
novelti,T41,4.209091241788438e-05
novelti,T20,0.00017332041384750986
novelti,T45,2.504384194663715e-05
modul,T21,1.56946458720504e-05
modul,T6,1.608386306096914e-05
modul,T16,1.58602702077605e-05
cart,T15,1.132047323030762e-05
differenti,T26,0.0006912460664173914
time-span,T1,1.169679261514479e-05
cds,T1,1.169679261514479e-05
replac,T10,1.6568284433747542e-05
replac,T15,1.662793503694579e-05
replac,T32,3.254271597023807e-05
co-train,T26,1.2340361204156343e-05
co-train,T34,1.3030328384803962e-05
co-train,T25,1.073653020808141e-05
click,T31,5.184258231532834e-05
click,T39,0.0008502872969622463
semantics-bas,T21,1.1930155688856414e-05
hyperbol,T22,8.003823506967258e-05
rapidly-chang,T23,1.131576899701545e-05
pep,T21,1.84313029876182e-05
drill-down,T0,1.1294367982732062e-05
in-plac,T31,1.1061129486047405e-05
practition,T40,1.781881428240094e-05
practition,T15,1.5635831634164526e-05
practition,T45,1.71214726031032e-05
practition,T11,1.3756041020405394e-05
blanket,T32,3.0202492565552724e-05
continuously-chang,T19,1.1898038507715637e-05
dynamic-program,T27,1.1810587438483537e-05
dynamic-program,T43,1.3281808323076093e-05
glaxosmithklin,T41,1.2528520165839032e-05
eleven,T13,1.0469071555782308e-05
fastlda,T33,1.0466300491525942e-05
etc,T14,1.3314812925237759e-05
etc,T7,1.3244771839839872e-05
trail,T39,1.1379942696083196e-05
cross-lingu,T42,1.284234528123445e-05
predomin,T8,1.3977840807057711e-05
predomin,T43,1.4932805102580514e-05
predomin,T42,1.2695650983698426e-05
notion,T26,0.00010639696254708287
notion,T9,0.0008389709972455765
notion,T12,8.46103741545626e-05
notion,T15,6.711825751249104e-05
notion,T49,0.0002932588552983143
notion,T46,6.565185252453294e-05
notion,T19,0.00014337131688631192
notion,T25,5.6329706529656485e-05
notion,T30,3.014390317326195e-05
kidney,T0,1.0070363031702366e-05
photo-shar,T31,1.1061129486047405e-05
transport,T45,2.0211251767817444e-05
transport,T16,3.8521045925131766e-05
open,T3,3.315873278337567e-05
open,T26,3.1193011242867203e-05
open,T47,3.2809271176174164e-05
open,T31,5.036971693804979e-05
open,T49,7.83266455141702e-05
open,T39,3.455657921218169e-05
open,T34,0.00013839035925192886
open,T35,3.1804569055469835e-05
unsold,T48,1.1923706390156017e-05
dtm,T2,1.0300349197585779e-05
dtm,T13,1.0610385157657997e-05
food,T34,1.1727678219164106e-05
65,T32,1.1898038507715637e-05
talk,T7,6.476818250349822e-05
talk,T17,4.861027677390093e-05
counti,T48,1.1923706390156017e-05
cope,T22,5.421276528965536e-05
cope,T24,1.8531202781516387e-05
cope,T31,4.692496480032806e-05
cope,T49,1.871544492871848e-05
artifici,T3,5.1518716219228345e-05
artifici,T47,3.1028596331523416e-05
artifici,T9,2.5294735622206814e-05
artifici,T43,2.527365525195197e-05
artifici,T16,2.470448525507128e-05
lda-styl,T25,1.0156584615730685e-05
attack,T20,0.0027301605951310093
attack,T26,0.0008006696706960503
graft,T27,1.088621779351619e-05
nms,T43,1.219360102654968e-05
skf,T22,1.146301025983608e-05
cmd,T33,1.1744298073246496e-05
cmd,T30,1.0258132429478474e-05
amongst,T43,1.4184541047146543e-05
amongst,T33,1.322643439186952e-05
off-the-shelf,T41,1.2528520165839032e-05
click-log,T39,1.1379942696083196e-05
quest,T38,1.2002547287127982e-05
blueprint,T22,1.146301025983608e-05
iscor,T29,1.6017391345628015e-05
iscor,T24,2.7707375508735872e-05
distort,T14,1.7571618500738423e-05
distort,T18,1.843790434765241e-05
distort,T47,1.6213656902873255e-05
distort,T37,1.4984467525495307e-05
distort,T32,1.793452203120239e-05
a\/b,T6,1.219360102654968e-05
scenario,T27,7.415949042965566e-05
scenario,T40,0.00013750664724014507
scenario,T35,3.243758729258386e-05
scenario,T33,2.3041167297273513e-05
scenario,T16,4.1204582025050457e-05
scenario,T7,3.805745571083168e-05
scenario,T49,2.8975748346943207e-05
scenario,T30,3.0504352556706612e-05
scenario,T45,4.1204582025050457e-05
scenario,T1,6.390885043477165e-05
crime,T7,1.7266602601867518e-05
tri,T12,2.9576385659897503e-05
tri,T49,2.1593230406354713e-05
tri,T6,6.544590515526787e-05
tri,T21,2.848280274845329e-05
tri,T29,2.4135810675462518e-05
tri,T38,4.581609189484415e-05
rejuven,T30,1.0144443653929071e-05
pathway,T10,7.115126248729314e-05
cbc,T12,1.2258112278648086e-05
cbc,T30,1.0260209152515951e-05
30,T48,3.439083607949127e-05
30,T34,4.3959357773717794e-05
30,T44,2.120332895239888e-05
correspond,T14,0.0008046817609235711
